LAT,LON,mag
-7.5,157.5,0.7828
-7.5,162.5,0.7107
-7.5,167.5,0.7034
-7.5,172.5,0.6153
-7.5,177.5,0.4685
-7.5,182.5,0.3942
-7.5,187.5,0.2703
-7.5,192.5,0.1865
-7.5,197.5,0.1406
-7.5,202.5,0.1789
-7.5,207.5,0.248
-7.5,212.5,0.3652
-7.5,217.5,0.5018
-7.5,222.5,0.5437
-7.5,227.5,0.4967
-7.5,232.5,0.4616
-7.5,237.5,0.4508
-7.5,242.5,0.4883
-7.5,247.5,0.5345
-7.5,252.5,0.5831
-7.5,257.5,0.6123
-7.5,262.5,0.6377
-7.5,267.5,0.658
-7.5,272.5,0.7919
-7.5,277.5,1.1252
-7.5,282.5,0.7978
-7.5,287.5,0.5067
-7.5,292.5,0.731
-7.5,297.5,0.641
-7.5,302.5,0.8497
-7.5,307.5,1.0066
-7.5,312.5,1.199
-7.5,317.5,1.3179
-7.5,322.5,0.5933
-7.5,327.5,0.4332
-7.5,332.5,0.3384
-7.5,337.5,0.2284
-7.5,342.5,0.0959
-7.5,347.5,0.0051
-7.5,352.5,-0.1549
-7.5,357.5,-0.0601
-2.5,2.5,0.3988
-2.5,7.5,0.7774
-2.5,12.5,0.607
-2.5,17.5,0.7337
-2.5,22.5,0.9776
-2.5,27.5,0.9744
-2.5,32.5,1.1938
-2.5,37.5,1.207
-2.5,42.5,0.6438
-2.5,47.5,0.7472
-2.5,52.5,0.7478
-2.5,57.5,0.5564
-2.5,62.5,0.3192
-2.5,67.5,0.129
-2.5,72.5,0.0694
-2.5,77.5,0.0396
-2.5,82.5,-0.0136
-2.5,87.5,-5.00E-04
-2.5,92.5,0.1147
-2.5,97.5,0.3123
-2.5,102.5,0.9009
-2.5,107.5,0.5976
-2.5,112.5,0.6215
-2.5,117.5,0.4019
-2.5,122.5,0.335
-2.5,127.5,0.3999
-2.5,132.5,0.5077
-2.5,137.5,0.609
-2.5,142.5,0.7438
-2.5,147.5,0.8957
-2.5,152.5,0.8817
-2.5,157.5,0.9036
-2.5,162.5,0.8545
-2.5,167.5,0.7076
-2.5,172.5,0.5323
-2.5,177.5,0.269
-2.5,182.5,-0.0429
-2.5,187.5,-0.3675
-2.5,192.5,-0.5651
-2.5,197.5,-0.6365
-2.5,202.5,-0.5888
-2.5,207.5,-0.456
-2.5,212.5,-0.2482
-2.5,217.5,-0.0917
-2.5,222.5,-0.1203
-2.5,227.5,-0.1675
-2.5,232.5,-0.1871
-2.5,237.5,-0.1465
-2.5,242.5,-0.057
-2.5,247.5,0.042
