time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-23T09:30:22.103Z,15.5835,-94.6837,47.59,4.9,mb,,139,2.546,1.12,us,us6000dkcp,2021-02-24T01:43:32.895Z,"71 km S of San Francisco del Mar Viejo, Mexico",earthquake,8.1,7.5,0.033,294,reviewed,us,us
2021-02-23T06:18:51.488Z,-31.7434,-71.5515,39.57,4.6,mwr,,137,0.574,0.67,us,us6000dkbt,2021-02-24T03:03:36.165Z,"38 km WSW of Illapel, Chile",earthquake,3.9,5.6,0.044,49,reviewed,us,us
2021-02-23T04:31:38.750Z,17.9783,-66.3748,7,2.51,md,14,178,0.226,0.25,pr,pr2021054004,2021-02-23T05:37:44.214Z,"1 km NW of Jauca, Puerto Rico",earthquake,0.7,1.26,0.18,7,reviewed,pr,pr
2021-02-23T04:25:52.698Z,-35.3538,-72.3647,35,4.2,mwr,,80,0.494,0.61,us,us6000dkb8,2021-02-25T00:48:03.322Z,"4 km ESE of Constitución, Chile",earthquake,5.5,2,0.045,47,reviewed,us,us
2021-02-23T03:18:35.821Z,44.4654,-115.1958,11.04,2.6,ml,,79,0.303,0.53,us,us6000dkb2,2021-02-25T00:25:22.040Z,"34 km NW of Stanley, Idaho",earthquake,2.2,9.4,0.06,36,reviewed,us,us
2021-02-23T01:42:02.426Z,43.3491,104.2475,16.62,4.4,mb,,166,4.732,0.48,us,us6000dkau,2021-02-24T04:21:52.040Z,"28 km SSW of Dalandzadgad, Mongolia",earthquake,9.8,4.2,0.112,23,reviewed,us,us
2021-02-23T01:23:38.410Z,17.9031,-66.9333,12,2.85,md,23,229,0.0901,0.17,pr,pr2021054001,2021-02-23T02:06:45.583Z,"8 km SSW of Guánica, Puerto Rico",earthquake,0.56,0.48,0.2,17,reviewed,pr,pr
2021-02-23T00:06:10.540Z,17.9621,-66.8468,11,2.71,md,16,189,0.0349,0.12,pr,pr2021054000,2021-02-23T00:32:35.606Z,"4 km SW of Indios, Puerto Rico",earthquake,0.44,0.36,0.32,12,reviewed,pr,pr
2021-02-22T23:50:29.392Z,9.7754,-84.2781,10,3.9,ml,,163,0.271,0.48,us,us6000dkab,2021-02-23T13:14:48.130Z,"5 km WNW of Tejar, Costa Rica",earthquake,2.2,2,0.085,18,reviewed,us,us
2021-02-22T23:14:20.410Z,-29.9927,-69.1721,114.41,4.6,mwr,,37,0.799,1.27,us,us6000dk9x,2021-02-23T00:40:44.836Z,"49 km NW of San José de Jáchal, Argentina",earthquake,5.8,5.1,0.047,44,reviewed,us,us
2021-02-22T22:42:32.966Z,39.6745,37.3269,10,4.2,mb,,60,0.919,0.86,us,us6000dk92,2021-02-23T01:19:32.492Z,"20 km SSW of Hafik, Turkey",earthquake,5.7,2,0.215,6,reviewed,us,us
2021-02-22T22:00:45.247Z,44.2223,-115.0993,10.94,3.3,ml,,71,0.092,0.47,us,us6000dk8j,2021-02-23T22:02:37.086Z,"12 km W of Stanley, Idaho",earthquake,2.6,5.9,0.043,70,reviewed,us,us
2021-02-22T21:57:55.300Z,44.2174,-115.0874,9.32,2.7,ml,,71,0.083,0.75,us,us6000dk8g,2021-02-22T23:05:08.040Z,"11 km W of Stanley, Idaho",earthquake,2.1,6.3,0.056,42,reviewed,us,us
